brand,name,address,latitude,longitude
3second,3 SECOND FS PANDANARAN SMG,Jl. Pandanaran No. 43 Randusari,-6.98601795,110.4123403
3second,3 SECOND JATOS BANDUNG,Mall Jatos Blok B6 No. 7/8 Jl. Raya Jatinangor No. 150,-6.93464698,107.7718417
3second,3 SECOND FS SUMEDANG,Jl. Prabu Geusan Ulum No. 193,-6.84802709,107.9235674
3second,3 SECOND FS WRG JAMBU BOGOR,JL. Raya Pajajaran No. 258. Warung Jambu,-6.56937082,106.8087358
3second,3 SECOND FS SIDOARJO,Jl. Pahlawan No. 2,-7.44912862,112.7120363
3second,3 SECOND FS PARE PARE,Jl. Bau Massepe  No. 416  A -B,-4.01444656,119.6221908
3second,3 SECOND FS TEGAL,AR Hakim Square B-2,-6.87933653,109.1359694
3second,3 SECOND FS PERINTIS MAKASSAR,Jl. Perintis Kemerdekaan No. 97 D,-5.14120956,119.4874572
3second,3 SECOND FS LEMBANG,Jl. Raya Lembang No. 279,-6.8119505,107.6175135
3second,3 SECOND FS BANJAR,Jl. Letjen Suwarto No. 167 A-167B Hegasari.,-7.37375042,108.5414162
3second,3 SECOND FS MEDAN MARELAN,Jl. Marelan Raya Komplek Maryland distric 88 blok 88 AN-AP.,3.67764498,98.65643152
3second,3 SECOND FS SAMPIT,"Jl. MT. Haruono No.86 Ketapang Mentawan Baru, Sampit",-2.5409095,112.9443431
3second,3 SECOND FS LUBUKLINGGAU,"Jl. Yos Sudarso No.33, Taba Jemekeh, Kec. Lubuk Linggau Tim. I, Kota Lubuklinggau, Sumatera Selatan",-5.0227552,103.0058149
3second,3 SECOND FS SOLO,Jln  Slamet Riyadi St No.269,-7.56885922,110.8135252
3second,3 SECOND FS SUDIRMAN PEKANBARU,"JL Jend  Sudirman No 420 A-B, Kel Wonorejo , KecMarpoyan Damai Kota Pekanbaru",0.50765745,101.45025873
3second,3 SECOND FS BATU MALANG,"Jl Diponegoro no 84 , kec sisir kelurahan batu",-7.87369603,112.52977673
3second,3 SECOND FS PEKALONGAN,"Buaran, Kec. Pekalongan Sel., Kota Pekalongan, Jawa Tengah 51171",-6.913048,109.660077
3second,3 SECOND FS CILEDUG,"Jl hos cokroaminoto , RT 002 RW 06 no 1 A, Sudimara Jaya ,Ciledug Tangerang ",-6.22623976,106.71269175
3second,3 SECOND FS TUBAN,"Jl. Basuki Rachmat No.128 Sidomulyo, Doromukti  Kab. Tuban Jawa Timur",-6.89856831,112.05913033
3second,3 SECOND FS JOMBANG,"Jl. Abdurrahman Wahid (Gus Dur) No. 120, RT 003 RW 05, Kel. Candimulyo, Kec. Jombang, Kabupaten Jombang",-7.538175,112.241333
3second,3 SECOND ATRIUM JAKARTA,"Jalan Senen Raya no 135 RW 02, kecamatan Senen, Jakarta pusat, Daerah Khusus Ibukota Jakarta, Lantai 2",-6.17638343,106.84116643
3second,3 SECOND FS TAMAN SISWA YOGYA,"Jl.Taman Siswa No.109, Wirogunan , Kec.Mergangsan ,Kota Yogyakarta",-7.81155451,110.37697324
3second,3 SECOND FS KUDUS,Jl. Sunan Kudus No 74,-6.80709932,110.8383013
3second,3 SECOND FS KUNINGAN,"Jl. Siliwangi no. 188, Cigembang, Kuningan",-6.97284602,108.48579875
3second,3 SECOND FS SOREANG,"JL. RAYA SOREANG-BANJARAN NO.459 SOREANG, KEC.SOREANG, KAB.BANDUNG, JAWA BARAT",-7.02825651,107.52221923
3second,3 SECOND FS PRABUMULIH,"Jl Jend. Sudirman No 352 B, Muara Dua Kec. Prabumulih Tim, Kota Prabumulih, Sumatera Selatan 31114",-3.41933123,104.25081591
3second,3 SECOND FS PALEMBANG,"Jl. Radial No. 1274, 24 Ilir, Kec. Bukit Kecil, Kota Palembang, Sumatra Selatan 30134",-2.98180234,104.74904943
3second,3 SECOND PARIS VAN JAVA BANDUNG,"Jl. Sukajadi No.131-139, Cipedes, Kec. Sukajadi, Kota Bandung, Jawa Barat ",-6.88838061,107.5959439
3second,3 SECOND FS MER SURABAYA,"JL. DR. IR SOEKARNO NO.400, KEDUNG BARUK, KEC. RUNGKUT, KOTA SURABAYA, JAWA TIMUR 60298",7.3199695,112.78120573
3second,3 SECOND 1 LEVEL 21 BALI,"Jl. Teuku Umar No.1, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali 80113",-8.66956115,115.21451425
3second,3 SECOND FS BONTANG,"JL AHMAD YANI NO.20 API-API, KEC.BONTANG UTARA, KOTA BONTANG, KALTIM 75311",0.13154315,117.48657412
3second,3 SECOND FS SUMBAWA,"Jl.Hasanudin No. 57 Bugis, Kec. sumbawa, Kab. Sumbawa",-8.49599055,117.42076954
3second,3 SECOND BANDUNG PUSAT,Jln. Cimincrang No 9B  ,-6.93798504,107.70650453
3second,3 SECOND FS MOJOKERTO,"Jl. Mojopahit No.339, Mergelo, Kranggan, Kec. Prajurit Kulon, Kota Mojokerto, Jawa Timur 61321",-7.47726047,112.43214995
3second,3 SECOND FS GORONTALO,Jl. Prof. Dr. H.B. Jassin,0.55627124,123.04960558
3second,3 SECOND FS KATAPANG,"Jl. R. Suprapto No.93, Sampit, Kec. Delta Pawan, Kabupaten Ketapang, Kalimantan Barat 78811",-1.83316022,109.96619241
3second,3 SECOND FS TULUNGAGUNG,"Jl. Ahmad Yani Timur, Tamanan, Kampungdalem, Kec. Tulungagung, Kabupaten Tulungagung, Jawa Timur",-8.06614,111.902069
