brand,name,address,latitude,longitude
Erigo,R63 - Ramayana Banjarmasin,"Lt.3 Denan Counter Larusso - Jl. P. Antasari, Pekapuran Raya, Kec. Banjarmasin Tengah, Kota Banjarmasin, Kalimantan Selatan 70234",-3.3292268,114.59728
Erigo,R66 - RAMAYANA ANDALAS PADANG,"GF Depan KFC
",-0.9502663999999998,100.3554655
Erigo,R67 - Ramayana Karawang,"GF Near Hokben - Jl. Tuparev Karawang Wetan 110Karawang, Nagasari, Kec. Karawang Bar., Karawang, Jawa Barat 41314",-6.309075099999999,107.30711799999999
Erigo,R70 - RAMAYANA MAKASSAR (Panakukkang),"Lt Dasar Depan Kassa
",-5.1571559,119.4400013
Erigo,R79 - RAMAYANA MAKASSAR MTOS,"Lt 1 Near Gokana
",-5.144598799999999,119.47535319999999
Erigo,R89 - RAMAYANA TEBING TINGGI,Lt 1 Diantara Eskalator,3.3449194999999996,99.1663078
Erigo,R94 - RAMAYANA SAMARINDA SQUARE,"GF Depan Kassa 1
",-0.469991,117.147461
Erigo,R96 - RAMAYANA PANAM PEKANBARU,"GF Diantara Eskalator
",0.46343799999999996,101.410112
Erigo,R98 - Ramayana Kediri,"Di Depan Pintu Masuk - Jl. Panglima Sudirman, Ringin Anom, Kec. Kota, Kota Kediri, Jawa Timur 64129",-7.8226431000000005,112.01118539999999
Erigo,R99 - Ramayana Garut,"GF Depan Pintu Masuk - Jl. Guntur No.34, Pakuwon, Kec. Garut Kota, Kabupaten Garut, Jawa Barat 44118",-7.2111957427944375,107.89721157584529
Erigo,Rambla - Summarecon Mall Bandung,"Summarecon Bandung, Summarecon Mall Bandung GF - Unit F & 1F - Unit D&E, Jl. Grand Bulevar No.1, Rancabolang, Kec. Gedebage, Kota Bandung, Jawa Barat 42294",-6.954788668091731,107.6971085758764
Erigo,Rambla - Summarecon Mall Kelapa Gading - Jakarta Utara,"Lt 2 Samping Sport Station - Jl. Boulevard Raya No.19, RT.13/RW.18, Klp. Gading Tim., Kec. Klp. Gading, Jkt Utara, Daerah Khusus Ibukota Jakarta 14240",-6.158576,106.90739400000001
Erigo,RB27 - RAMAYANA SIDOARJO,GF Samping Pintu Masuk,-7.4285153,112.5693421
Erigo,RB30 - Ramayana Panbil - Batam,"GF Samping Taiwan Sweet Corn - Jl. Kawasan Komersil Muka Kuning, Kabil, Nongsa, Batam City, Riau Islands 29433",1.0788341,104.0487274
Erigo,Sarinah - Jakarta Pusat,"LT. 1 - Jl. M.H. Thamrin No.11, RT.8/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",-6.1877521,106.8235864
Erigo,SARINAH MALANG,Atrium Utama,-7.9814045,112.6306438
Erigo,SLEMAN CITY HALL,"Selasar GF Dekat Solaria
",-7.7201865,110.36173249999999
